gene,logP
d_sym_879,-0.15606579089207542
d_sym_882,-0.8073665163253266
d_sym_886,-0.9872113559058744
d_sym_887,2.654249622197247
d_sym_889,-2.676830919882458
d_sym_893,0.04568879550585051
d_sym_898,-0.3233520587601065
d_sym_910,0.5706136851662065
d_sym_912,-0.132768829341498
d_sym_923,2.779581556084649
d_sym_934,-0.3373150507502632
d_sym_935,-0.3446274579898647
d_sym_939,-0.010004901853117393
d_sym_948,-0.5033333868617808
d_sym_958,0.7749291438182518
d_sym_961,-1.4026714529971847
d_sym_963,2.822787988415178
d_sym_968,-1.0188246260558806
d_sym_970,-2.1251137028529747
d_sym_972,-0.7167013894348497
d_sym_976,0.39462149895854853
d_sym_981,0.5372583689598133
d_sym_994,6.790772632255425
d_sym_996,-2.044924219975679
d_sym_999,1.444441864883248
d_sym_1002,-0.882798159802499
d_sym_1019,-2.2596449910923937
d_sym_1022,-1.6513066985065392
d_sym_1044,-1.8535831165669685
d_sym_1052,-0.3625707195930615
d_sym_1063,-3.6227143277513663
d_sym_1067,5.476396033066626
d_sym_1070,-2.5864767652027645
d_sym_1074,-1.1483112659179597
d_sym_1086,-0.3694940576601997
d_sym_1093,0.004054475273602318
d_sym_1094,-0.2323800097956904
d_sym_1103,2.6176077594502276
d_sym_1105,-0.18836082383285982
d_sym_1114,0.3680390888467251
d_sym_1120,-0.6709692352372749
d_sym_1121,1.3266781629800652
d_sym_1123,-1.0731229132856017
d_sym_1124,-1.3603706547197303
d_sym_1127,-0.08776786930149275
d_sym_1134,-1.618366729034327
d_sym_1135,-0.7706287624737173
d_sym_1137,-0.620480243796402
d_sym_1138,0.26247653478040595
d_sym_1142,-1.1486454690611279
d_sym_1158,-2.6142217410822997
d_sym_1164,0.03760038359689814
d_sym_1165,-0.5207738269324571
d_sym_1167,2.1031332996327587
d_sym_1169,4.592707885321749
d_sym_1177,1.6046505846220567
d_sym_1182,-2.997732739702697
d_sym_1193,-0.6443974978866058
d_sym_1196,0.26443218257785206
d_sym_1200,0.4029168546794081
d_sym_1214,0.33521977932902636
d_sym_1216,-0.6308717473930066
d_sym_1218,0.14939968786443902
d_sym_1219,-1.2603728797639961
d_sym_1228,-2.5086198250332505
d_sym_1231,1.067098408194432
d_sym_1240,-0.2612795759555132
d_sym_1241,3.5541441267521563
d_sym_1252,0.559212236102371
d_sym_1256,-0.2745722601100736
d_sym_1259,1.5800524160344562
d_sym_1268,-0.6359227340955017
d_sym_1270,-0.02411082777552421
d_sym_1272,-1.824807306950281
d_sym_1277,-0.2697829619888857
d_sym_1286,-0.6129101411806408
d_sym_1291,0.1355386421338781
d_sym_1293,-0.24169782406165616
d_sym_1295,-0.47737448892595435
d_sym_1316,0.7171244202445787
d_sym_1343,-1.3404016137773151
d_sym_1360,1.4686598108605562
d_sym_1372,0.3233066160171762
d_sym_1379,0.023764450109258733
d_sym_1391,0.20904423156624363
d_sym_1396,-2.0027774073931015
d_sym_1398,3.890148399664781
d_sym_1411,-0.5636821151784113
d_sym_1415,1.3346883092640498
d_sym_1416,-0.8993384115930259
d_sym_1418,0.1576104013730042
d_sym_1421,3.7971966443923098
d_sym_1429,-1.356255739374763
d_sym_1430,-0.42734706613375817
d_sym_1431,1.241657606962531
d_sym_1433,-0.5295824289733876
d_sym_1450,-1.6382424211757498
d_sym_1451,-0.13836242226772916
d_sym_1455,-1.0007128988341027
d_sym_1469,0.5443196234584833
d_sym_1476,0.9556516881756311
d_sym_1483,-0.06351695904475779
d_sym_1487,-2.563700294919377
d_sym_1488,0.9214762184088907
d_sym_1489,0.03276431599196572
d_sym_1495,-1.915284597861895
d_sym_1503,0.004974621737593497
d_sym_1509,1.6838890238932072
d_sym_1513,-0.15721636642802117
d_sym_1517,0.30926140189916046
d_sym_1518,-1.1249813579829795
d_sym_1520,-1.2467721579486029
d_sym_1521,0.34955558381301044
d_sym_1526,-3.5106514279085594
d_sym_1527,1.5948747921535311
d_sym_1532,-2.1354886565261215
d_sym_1537,0.04787122323020812
d_sym_1539,0.9550279718886561
d_sym_1542,1.1560661613194347
d_sym_1545,0.299847725501354
d_sym_1548,0.5708381631395167
d_sym_1553,-1.353615683251153
d_sym_1555,0.5622527550005976
d_sym_1557,2.1664633664623016
d_sym_1560,-0.6063907455622629
d_sym_1569,-0.5786526854043758
d_sym_1572,-2.1981132390128915
d_sym_1601,0.23020438576563393
d_sym_1605,-1.5371145412903127
d_sym_1606,0.6517833646046247
d_sym_1610,-0.6156263414605716
d_sym_1611,0.2401499399486653
d_sym_1616,0.15796453909883046
d_sym_1621,-0.20607696093029715
d_sym_1622,-1.2409508331891055
d_sym_1634,-0.2605610984932357
d_sym_1643,-1.6922682702631855
d_sym_1649,-0.5550161172717301
d_sym_1650,-0.7719554348553946
d_sym_1660,0.14561370063095616
d_sym_1661,-1.6248480728058623
d_sym_1675,-0.6705762316273275
d_sym_1683,2.769109936730766
d_sym_1684,-2.224501310238418
d_sym_1686,-0.62131870851021
d_sym_1693,-1.592635932650776
d_sym_1695,-0.8609903434266398
d_sym_1700,1.1251490345026782
d_sym_1709,0.009150631476314213
d_sym_1710,0.5393065037375361
d_sym_1722,0.6995617608213243
d_sym_1727,-0.18488601093648452
d_sym_1731,0.3339145775699386
d_sym_1751,-0.9275739806592865
d_sym_1760,-1.6447099506123701
d_sym_1768,-1.1746724506236228
d_sym_1769,-1.339627315126448
