ContigName	GO
c_sym_891	No_GOcodes
c_sym_892	No_GO
c_sym_893	GO:0005509
c_sym_895	No_GO
c_sym_896	No_GO
c_sym_900	No_GO
c_sym_902	No_GO
c_sym_909	GO:0005886;GO:0016308;GO:0005524;GO:0005515;GO:0003006;GO:0040007;GO:0010311;GO:0009958
c_sym_916	No_GO
c_sym_921	No_GO
c_sym_922	No_GO
c_sym_933	No_GO
c_sym_934	No_GO
c_sym_936	GO:0016021;GO:0005739;GO:0005524;GO:0004222;GO:0017111;GO:0008270;GO:0030163;GO:0006508
c_sym_939	GO:0005737;GO:0008234;GO:0004221;GO:0006511
c_sym_941	No_GO
c_sym_942	No_GO
c_sym_943	No_GOcodes
c_sym_946	GO:0005634;GO:0003677;GO:0000166;GO:0003723;GO:0006260
c_sym_948	No_GO
c_sym_956	No_GOcodes
c_sym_959	No_GO
c_sym_967	GO:0005488
c_sym_969	GO:0000166;GO:0016491
c_sym_970	No_GOcodes
c_sym_977	No_GO
c_sym_978	No_GO
c_sym_980	No_GO
c_sym_982	GO:0004314;GO:0005488
c_sym_983	No_GO
c_sym_985	GO:0016020;GO:0003824
c_sym_993	No_GO
c_sym_994	No_GO
c_sym_995	No_GO
c_sym_998	No_GO
c_sym_999	No_GO
c_sym_1001	GO:0045180;GO:0044441;GO:0005783;GO:0016021;GO:0016020;GO:0072686;GO:0031512;GO:0031513;GO:0005886;GO:0002133;GO:0051117;GO:0005262;GO:0005509;GO:0042802;GO:0005267;GO:0005102;GO:0007050;GO:0071498;GO:0050982;GO:0003127;GO:0007368;GO:0001892;GO:0007507;GO:0007259;GO:0001822;GO:0060315;GO:0060674;GO:0010628;GO:0045429;GO:0030814;GO:0051209;GO:0061333
c_sym_1003	No_GOcodes
c_sym_1009	No_GO
c_sym_1021	No_GO
c_sym_1029	GO:0016021;GO:0017059;GO:0030170;GO:0004758;GO:0016769;GO:0030148
c_sym_1033	GO:0005525;GO:0003924;GO:0005506;GO:0016714;GO:0009072
c_sym_1037	No_GO
c_sym_1040	No_GOcodes
c_sym_1045	No_GO
c_sym_1050	No_GO
c_sym_1054	GO:0005739;GO:0005782;GO:0004165;GO:0000062;GO:0009062
c_sym_1055	GO:0016021;GO:0005774;GO:0016746;GO:0008270
c_sym_1056	GO:0005488
c_sym_1061	GO:0004096;GO:0020037;GO:0042744
c_sym_1062	GO:0005576;GO:0004190;GO:0007586;GO:0006508
c_sym_1064	No_GO
c_sym_1065	GO:0005929;GO:0005737;GO:0019861;GO:0005874;GO:0005515;GO:0030030;GO:0030317;GO:0007283
c_sym_1066	GO:0030176;GO:0016747
c_sym_1067	No_GO
c_sym_1073	GO:0005524;GO:0004674;GO:0010119
c_sym_1077	GO:0005488;GO:0006397;GO:0008380;GO:0006351;GO:0006283
c_sym_1081	No_GO
c_sym_1083	No_GO
c_sym_1089	No_GO
c_sym_1100	No_GO
c_sym_1102	GO:0009986;GO:0012505;GO:0005783;GO:0031012;GO:0005615;GO:0005796;GO:0016020;GO:0005625;GO:0043499;GO:0008201;GO:0048406;GO:0004252;GO:0009100;GO:0032455;GO:0032902;GO:0048011;GO:0006508;GO:0030510;GO:0032940
c_sym_1103	No_GO
c_sym_1106	GO:0005737;GO:0005634;GO:0005488;GO:0008565;GO:0006886
c_sym_1108	GO:0016747
c_sym_1110	No_GO
c_sym_1113	GO:0016021;GO:0008270
c_sym_1116	GO:0005524;GO:0046872;GO:0004550;GO:0006241;GO:0006183;GO:0006228
c_sym_1117	GO:0005524;GO:0004386;GO:0003676
c_sym_1118	No_GO
c_sym_1123	No_GO
c_sym_1128	No_GO
c_sym_1129	GO:0005524;GO:0004674;GO:0010119
c_sym_1135	No_GOcodes
c_sym_1139	No_GO
c_sym_1140	GO:0005524;GO:0004740
c_sym_1141	GO:0005509
c_sym_1145	GO:0005694;GO:0005737;GO:0005634;GO:0005524;GO:0046982;GO:0051301;GO:0006310;GO:0006281;GO:0007076;GO:0007062
c_sym_1148	No_GO
c_sym_1150	GO:0005576;GO:0016162;GO:0030245
c_sym_1153	No_GOcodes
c_sym_1156	No_GO
c_sym_1165	GO:0005952;GO:0030552;GO:0008603;GO:0001932
c_sym_1171	No_GOcodes
c_sym_1174	GO:0000778;GO:0005874;GO:0005875;GO:0005816;GO:0005524;GO:0016887;GO:0043015;GO:0008017;GO:0008569;GO:0034613;GO:0000741;GO:0007019;GO:0007018;GO:0032888;GO:0031134;GO:0090307
c_sym_1175	No_GO
c_sym_1176	GO:0005856;GO:0005886;GO:0043531;GO:0005524;GO:0016887;GO:0005509;GO:0005516;GO:0008017;GO:0003777;GO:0016491;GO:0007018;GO:0009846;GO:0010091
c_sym_1181	No_GO
c_sym_1184	No_GOcodes
c_sym_1185	No_GO
c_sym_1186	GO:0005829;GO:0005886;GO:0032440;GO:0000166;GO:0008270;GO:0006979
c_sym_1189	No_GO
c_sym_1191	GO:0005622;GO:0004198;GO:0008270;GO:0006508
c_sym_1192	GO:0016787
c_sym_1198	GO:0003824;GO:0050662;GO:0000166;GO:0044237
c_sym_1199	GO:0030532;GO:0005681;GO:0003676;GO:0006397;GO:0006461;GO:0008380
c_sym_1201	GO:0016021;GO:0030476
c_sym_1202	GO:0016491
c_sym_1204	No_GO
c_sym_1211	GO:0016021;GO:0005743;GO:0005488;GO:0005469
c_sym_1213	No_GO
c_sym_1215	GO:0005737;GO:0005524;GO:0004674;GO:0016055
c_sym_1218	No_GO
c_sym_1223	No_GO
c_sym_1224	GO:0005737;GO:0005634;GO:0005524;GO:0004674;GO:0042254
c_sym_1225	No_GO
c_sym_1230	GO:0005829;GO:0005758;GO:0009055;GO:0020037;GO:0030151;GO:0043546;GO:0008482;GO:0007584
c_sym_1232	No_GO
c_sym_1234	No_GOcodes
c_sym_1236	GO:0005634;GO:0003723;GO:0006397;GO:0051028;GO:0008380
c_sym_1240	GO:0005840;GO:0019843;GO:0003735;GO:0006412
c_sym_1248	GO:0005813;GO:0005634;GO:0005524;GO:0046872;GO:0004674;GO:0004713;GO:0051301;GO:0030030;GO:0007067;GO:0006974;GO:0010212
c_sym_1252	GO:0003950
c_sym_1256	GO:0005622;GO:0003677;GO:0004519;GO:0006281
c_sym_1257	No_GO
c_sym_1258	GO:0005737;GO:0005635
c_sym_1262	No_GO
c_sym_1263	No_GO
c_sym_1264	No_GO
c_sym_1284	GO:0016874;GO:0008270
c_sym_1286	No_GO
c_sym_1290	GO:0005488
c_sym_1293	No_GO
c_sym_1298	No_GO
c_sym_1299	GO:0005739;GO:0005524;GO:0004824;GO:0046872;GO:0003676;GO:0006430
c_sym_1301	GO:0005759;GO:0005524;GO:0008283;GO:0046956;GO:0042026;GO:0031288
c_sym_1304	No_GO
c_sym_1305	No_GO
c_sym_1310	No_GO
c_sym_1320	No_GO
c_sym_1322	No_GO
c_sym_1325	GO:0008168
c_sym_1326	GO:0005945;GO:0003872;GO:0005524;GO:0047334;GO:0006096
c_sym_1327	No_GO
c_sym_1328	GO:0005634;GO:0048471;GO:0005488;GO:0008565;GO:0006606
c_sym_1329	GO:0005829;GO:0005634;GO:0004177;GO:0008237;GO:0008270;GO:0002474;GO:0071456;GO:0000209;GO:0006508
c_sym_1333	GO:0005783;GO:0005743;GO:0051537;GO:0008656;GO:0050660;GO:0046872;GO:0016491;GO:0008635;GO:0045454;GO:0022900;GO:0006917;GO:0051882;GO:0006810
c_sym_1334	GO:0008270
c_sym_1339	GO:0005576;GO:0043895;GO:0046872;GO:2001070;GO:0005975
c_sym_1341	No_GO
c_sym_1343	GO:0003677;GO:0006355;GO:0006351
c_sym_1348	No_GOcodes
c_sym_1349	No_GO
c_sym_1354	No_GO
c_sym_1355	No_GO
c_sym_1357	No_GO
c_sym_1364	GO:0005615;GO:0005102;GO:0045545;GO:0007155;GO:0007165
c_sym_1365	No_GO
c_sym_1367	No_GOcodes
c_sym_1372	No_GO
c_sym_1376	GO:0005524;GO:0017111
c_sym_1379	No_GO
c_sym_1380	GO:0005730;GO:0005654;GO:0033746;GO:0033749;GO:0046872;GO:0016702;GO:0070815;GO:0003727;GO:0030154;GO:0006397;GO:0018395;GO:0048024;GO:0006355;GO:0008380;GO:0002040;GO:0006351
c_sym_1381	GO:0005488;GO:0006397;GO:0008380;GO:0006351;GO:0006283
c_sym_1383	No_GO
c_sym_1385	No_GO
c_sym_1389	No_GO
c_sym_1390	GO:0005524;GO:0017111;GO:0030435
c_sym_1391	No_GO
c_sym_1392	GO:0000166;GO:0016491
c_sym_1394	No_GO
c_sym_1395	GO:0016491;GO:0006772
c_sym_1398	No_GO
c_sym_1399	No_GOcodes
c_sym_1400	GO:0005737;GO:0046872;GO:0004722;GO:0007049;GO:0006470
c_sym_1405	No_GOcodes
c_sym_1409	No_GO
c_sym_1410	No_GO
c_sym_1414	No_GO
c_sym_1424	GO:0007155;GO:0006950
c_sym_1425	No_GO
c_sym_1428	No_GO
c_sym_1430	GO:0005618;GO:0009570;GO:0009535;GO:0005739;GO:0031897;GO:0005524;GO:0004176;GO:0003677;GO:0004518;GO:0009658;GO:0006289;GO:0045037;GO:0019538;GO:0010380
c_sym_1435	No_GO
c_sym_1437	No_GO
c_sym_1449	GO:0009507;GO:0016226
c_sym_1452	No_GO
c_sym_1456	No_GO
c_sym_1459	No_GOcodes
c_sym_1460	GO:0016020;GO:0005524;GO:0005509;GO:0004674
c_sym_1463	No_GOcodes
c_sym_1466	GO:0005886;GO:0016308;GO:0051015;GO:0003785;GO:0005524;GO:0006950
c_sym_1467	GO:0005739;GO:0030141;GO:0005524;GO:0004820;GO:0046983;GO:0015966;GO:0006426
c_sym_1468	No_GOcodes
c_sym_1472	No_GO
c_sym_1473	GO:0003676
c_sym_1474	No_GO
c_sym_1475	No_GO
c_sym_1477	GO:0005576;GO:0016021;GO:0005624;GO:0005886;GO:0004115;GO:0030552;GO:0046872;GO:0006198;GO:0007165;GO:0030587
c_sym_1478	No_GO
c_sym_1481	GO:0005488
c_sym_1489	No_GO
c_sym_1502	No_GO
c_sym_1503	GO:0016787
c_sym_1510	GO:0005868;GO:0005874;GO:0003774;GO:0008090;GO:0007632
c_sym_1513	No_GO
c_sym_1514	No_GO
c_sym_1515	No_GO
c_sym_1519	No_GO
c_sym_1521	No_GO
c_sym_1522	No_GO
c_sym_1523	No_GO
c_sym_1524	No_GOcodes
c_sym_1527	No_GO
c_sym_1529	No_GO
c_sym_1531	No_GO
c_sym_1533	No_GO
c_sym_1536	GO:0016021;GO:0005743;GO:0005488;GO:0005310;GO:0006839
c_sym_1538	No_GO
c_sym_1540	GO:0005829;GO:0004177;GO:0008237;GO:0008270;GO:0006508
c_sym_1548	GO:0047641
c_sym_1552	No_GO
